product_id,onsale_web,price,stock_quantity,stock_status,id_web,sku,virtual,downloadable,rating_count,average_rating,total_sales,tax_status,tax_class,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count,chiffre_affaires,z_score
4115,1,100.0,11,instock,15382,15382,0,0,0,0.0,0.0,taxable,,2.0,2018-02-13 11:08:45,2018-02-13 10:08:45,,Zind-Humbrecht Riesling Grand Cru Rangen De Thann Clos Saint-Urbain 2017,"Le nez est puissant, dominant, riche, sur la fumée et la pierre. Il s’ouvre très doucement à l’ouverture sur plus de fruit et aussi un caractère presque médicinal, mais il faut être patient dans la jeunesse et lui donner du temps. La structure est serrée, dense, complexe et se construit principalement sur la minéralité au goût salé indéniable et la structure tannique bien présente dans ce vin. L’acidité apporte de la fraîcheur, mais est au second plan par rapport aux autres constituants du vin. Ce Rangen est encore à la fois sévère et enthousiasmant.",publish,closed,closed,,zind-humbrecht-riesling-gc-rangen-thann-clos-st-urbain-2017,2020-02-08 11:45:02,2020-02-08 10:45:02,,0.0,https://www.bottle-neck.fr/?post_type=product&#038;p=15382,0.0,product,,0.0,0.0,2.427385420938595
4132,1,88.4,5,instock,11668,11668,0,0,0,0.0,0.0,taxable,,2.0,2018-02-13 11:43:55,2018-02-13 10:43:55,,Zind-Humbrecht Pinot Gris Grand Cru Rangen De Thann Clos Saint-Urbain 2012,"Le nez dévoile déjà une belle intensité de fruit. Il est facile de ressentir le besoin de ce vin de continuer à évoluer, mais le verre déborde littéralement d’arômes propres au Rangen (fumée légère, fruits blancs, tourbe, pierre à fusil…). Ce vin dégage une sensation de sérénité et d’achèvement, confirmé par une bouche ample et délicate. La finale est très longue mais ce vin aura besoin de quelques années de vieillissement en bouteille et bénéficiera d’un passage à l’air avant le service.",publish,closed,closed,,zind-humbrecht-pinot-gris-grand-cru-rangen-de-thann-clos-saint-urbain-2012,2020-02-20 09:55:02,2020-02-20 08:55:02,,0.0,https://www.bottle-neck.fr/?post_type=product&#038;p=11668,0.0,product,,0.0,0.0,2.0102771487143416
4352,1,225.0,0,outofstock,15940,15940,0,0,0,0.0,5.0,taxable,,2.0,2018-03-02 10:30:04,2018-03-02 09:30:04,,Champagne Egly-Ouriet Grand Cru Millésimé 2008,"Issu d’un assemblage de 70% de Pinot Noir du grand cru d’Ambonnay et de 30% de Chardonnay, ce vin de champagne est une très belle expression du superbe millésime 2008. Élevage en barriques avec jusqu'à 10 années de vieillissement en cave. Le dosage est assez faible afin d’exprimer toute la vinosité de cette bulle singulière. Le nez se montre moins ouvert qu’à son habitude cependant, après quelques minutes dans le verre, on trouve une pureté aromatique redoutable où le minéral et l’iodé s’expriment tout en subtilité. Le deuxième révèle la vinosité habituelle qu’on aime chez Egly-Ouriet. La bouche droite et épurée montre beaucoup d’allonge et un équilibre formidable. Très joli vin !!",publish,closed,closed,,champagne-egly-ouriet-grand-cru-millesime-2008,2020-03-07 11:18:45,2020-03-07 10:18:45,,0.0,https://www.bottle-neck.fr/?post_type=product&#038;p=15940,0.0,product,,0.0,1125.0,6.922086630251679
4355,1,126.5,2,instock,12589,12589,0,0,0,0.0,11.0,taxable,,2.0,2018-03-02 10:46:10,2018-03-02 09:46:10,,Champagne Egly-Ouriet Grand Cru Blanc de Noirs,"Le Blanc de Noirs représente le meilleur du savoir-faire de la maison Egly-Ouriet. C’est une cuvée d’une grande finesse. Ce champagne est élevé en fût de chêne et la fermentation malolactique est volontairement bloquée afin de conserver une grande tension. Il possède une robe vieil or, et des bulles d’une très grande finesse. Au nez, c’est une cuvée qui s’ouvre sur des arômes gourmands de fruits compotés, de fruits jaunes, et une touche d’épices. La bouche est superbe, mêlant à la fois fraîcheur, rondeur, tension. Une immense cuvée !",publish,closed,closed,,champagne-egly-ouriet-grand-cru-brut-blanc-de-noirs,2020-08-13 10:15:02,2020-08-13 08:15:02,,0.0,https://www.bottle-neck.fr/?post_type=product&#038;p=12589,0.0,product,,0.0,1391.5,3.380262077312969
4402,1,176.0,8,instock,3510,3510,0,0,0,0.0,13.0,taxable,,2.0,2018-03-22 11:21:05,2018-03-22 10:21:05,,Cognac Frapin VIP XO,"La cuvée VIP XO à été enrichie d’eaux-de-vie très anciennes, allie âge, rondeur, bouquet et finesse. Ce sont les vieilles réserves de la famille FRAPIN. Au nez le VIP XO se distingue par d’agréables notes florales et une belle complexité aromatique ponctuée de subtiles touches boisées. Un ensemble élégant typique des vieux Cognacs de Grande Champagne.  Après la délicatesse olfactive, la puissance en bouche surprend le dégustateur. Il offre un florilège de saveurs, révélant tour à tour des notes chocolatées, de
fruits secs, de fruits confits, de pain d’épices… l’expression est sophistiquée, complexe, profonde, sans jamais perdre la fraîcheur originelle du fruit. Composé avec la précision d’un sonnet, le VIP XO est une ode à la passion de la création et du goût.",publish,closed,closed,,cognac-frapin-vip-xo,2020-08-22 11:35:03,2020-08-22 09:35:03,,0.0,https://www.bottle-neck.fr/?post_type=product&#038;p=3510,0.0,product,,0.0,2288.0,5.16016375620095
4404,1,108.5,2,instock,3507,3507,0,0,0,0.0,2.0,taxable,,2.0,2018-03-22 11:32:55,2018-03-22 10:32:55,,Cognac Frapin Château de Fontpinot XO,"Exclusivement vendangé, distillé, vieilli et mis en bouteille numérotées au Château familial, ce cognac Grande Champagne revendique l'appellation ""Château"" qui lui confère sa rareté. Cette très vieille réserve du Château doit sa maturité exceptionnelle de 41° et sa qualité à un long vieillissement en chais secs. Son bouquet floral est dû à une distillation sur lies qui lui apporte élégance, finesse et persistance des arômes.",publish,closed,closed,,cognac-frapin-fontpinot-xo,2020-08-12 09:30:16,2020-08-12 07:30:16,,0.0,https://www.bottle-neck.fr/?post_type=product&#038;p=3507,0.0,product,,0.0,217.0,2.733025103171885
4406,1,157.0,3,instock,7819,7819,0,0,0,0.0,0.0,taxable,,2.0,2018-03-22 11:42:48,2018-03-22 10:42:48,,Cognac Frapin Château de Fontpinot 1989 20 Ans d'Age,"Eau-de-Vie distillée à partir de raisins de Grande Champagne, premier cru de la région de Cognac, récoltés exclusivement au Château de Fontpinot en 1989, année la plus chaude de la décennie.. Un Cognac vanillé, tout en rondeur et puissance avec un final très prononcé de fruits confits avec des notes très légèrement poivrées.",publish,closed,closed,,cognac-frapin-chateau-de-fontpinot-1989-20-ans,2020-03-14 16:05:04,2020-03-14 15:05:04,,0.0,https://www.bottle-neck.fr/?post_type=product&#038;p=7819,0.0,product,,0.0,0.0,4.4769691723853615
4407,1,104.0,6,instock,3509,3509,0,0,0,0.0,1.0,taxable,,2.0,2018-03-22 11:49:53,2018-03-22 10:49:53,,Cognac Frapin Cigar Blend,"Ce cognac bénéficie d'un vieillissement plus long en fûts neufs, lui donnant un goût légèrement plus corsé. De couleur acajou ambré, son vieillissement lui confère un bouquet très tannique (vanille) mêlé aux notes de Porto et de fruits confits (miel et épices), caractéristiques d'une longue maturation. Charpenté, ce cognac se distingue des autres par sa forte personnalité, mais il reste long et équilibré.",publish,closed,closed,,cognac-frapin-cigar-blend,2020-07-04 09:45:03,2020-07-04 07:45:03,,0.0,https://www.bottle-neck.fr/?post_type=product&#038;p=3509,0.0,product,,0.0,104.0,2.571215859636614
4582,1,109.6,7,instock,12857,12857,0,0,0,0.0,0.0,taxable,,2.0,2018-04-12 17:56:13,2018-04-12 15:56:13,,Château de Meursault Puligny-Montrachet 1er Cru Champ Canet 2014,"Il présente une grande fraîcheur minérale au nez et en bouche, complétée par une richesse aromatique dense. Des notes de fleurs blanches apportent beaucoup d'élégance, ce vin est d’une rare élégance.",publish,closed,closed,,chateau-de-puligny-montrachet-1cru-champ-canet-2014,2020-02-06 16:35:02,2020-02-06 15:35:02,,0.0,https://www.bottle-neck.fr/?post_type=product&#038;p=12857,0.0,product,,0.0,0.0,2.77257847381384
4903,1,102.3,20,instock,14805,14805,0,0,0,0.0,0.0,taxable,,2.0,2018-05-15 10:10:57,2018-05-15 08:10:57,,Domaine Des Croix Corton Grand Cru Les Grèves 2017,"Ce vin exhale de beaux arômes de fruits rouges et notamment de cerises noires, des nuances fumées et épicées, rehaussées par de discrètes notes boisées. La bouche révèle une grande complexité et aux arômes précédents viennent s'ajouter des notes mentholées et florales. Une belle texture, souple et puissante et une grande longueur.",publish,closed,closed,,domaine-des-croix-corton-grand-cru-les-greves-2017,2020-06-27 09:00:07,2020-06-27 07:00:07,,0.0,https://www.bottle-neck.fr/?post_type=product&#038;p=14805,0.0,product,,0.0,0.0,2.5100879231899564
